,Unnamed: 0,old_ID,sys1,sys,sim,gamma_bcc,gamma_fcc,rho_gm3
4943,4943,448,Al1Ti1Cr1Cd1,AlTiCrCd,0.6601,0.6609797411063942,0.6208407819661464,5.849254198468334
4944,4944,449,Al1Ti1Cr1La1,AlTiCrLa,0.6953,0.6334405164113485,0.6029140588417227,5.264262294463005
4945,4945,450,Al1Ti1Cr1Hf1,AlTiCrHf,0.7418,0.6892744707862836,0.658934920155177,7.38856414104956
4953,4953,458,Al1Ti1Cr1Hg1,AlTiCrHg,0.6071,0.6209690372845431,0.5895004022915565,7.666311707700985
4954,4954,459,Al1Ti1Mn1Fe1,AlTiMnFe,0.7714,0.9947410876276732,0.9557998612936318,5.294646542542954
4955,4955,460,Al1Ti1Mn1Co1,AlTiMnCo,0.7398,0.9014312756838824,0.8718370748814717,5.457749694703831
4956,4956,461,Al1Ti1Mn1Ni1,AlTiMnNi,0.7654,0.8946792219784873,0.8664866749442445,5.4603276226178
4957,4957,462,Al1Ti1Mn1Cu1,AlTiMnCu,0.7678,1.1503091063259543,1.1184135934197912,5.514297058006872
4958,4958,463,Al1Ti1Mn1Zn1,AlTiMnZn,0.7431,1.0207044749919438,0.9633940875568924,5.259359233376623
4959,4959,464,Al1Ti1Mn1Y1,AlTiMnY,0.6558,0.7059048900740641,0.6722654077217812,4.5721591911335
4960,4960,465,Al1Ti1Mn1Zr1,AlTiMnZr,0.7668,0.7433479965028328,0.7087786279978517,5.263666696929699
4961,4961,466,Al1Ti1Mn1Nb1,AlTiMnNb,0.7542,1.1882980759803758,1.0121721079744068,5.740222353664595
4962,4962,467,Al1Ti1Mn1Mo1,AlTiMnMo,0.7476,1.1518065321718214,1.0117533823230194,6.053947153085621
4963,4963,468,Al1Ti1Mn1Tc1,AlTiMnTc,0.5141,1.1709931900892372,1.0551565504997151,6.239698494653464
4964,4964,469,Al1Ti1Mn1Ru1,AlTiMnRu,0.6431,0.9816902475506596,0.8986415841566552,6.387032146266666
4965,4965,470,Al1Ti1Mn1Rh1,AlTiMnRh,0.629,0.7214229779767172,0.6465386107708454,6.427102475474209
4966,4966,471,Al1Ti1Mn1Pd1,AlTiMnPd,0.6353,1.282269157718802,1.1743684296231092,6.417396542978723
4967,4967,472,Al1Ti1Mn1Ag1,AlTiMnAg,0.6764,1.1449942411865444,1.0814918422898567,6.2127077287559045
4968,4968,473,Al1Ti1Mn1Cd1,AlTiMnCd,0.6316,0.7264446669354787,0.6714219560894479,5.91247042317647
4969,4969,474,Al1Ti1Mn1La1,AlTiMnLa,0.6839,0.728787560841438,0.6929019964152875,5.316195577783073
4970,4970,475,Al1Ti1Mn1Hf1,AlTiMnHf,0.7127,0.7990317174238515,0.7768738152976618,7.448895615371177
4978,4978,483,Al1Ti1Mn1Hg1,AlTiMnHg,0.5772,0.6889526972850446,0.646484877082672,7.724297588394364
4979,4979,484,Al1Ti1Fe1Co1,AlTiFeCo,0.7631,1.0622865306919749,1.0494647847216656,5.522462767999999
4980,4980,485,Al1Ti1Fe1Ni1,AlTiFeNi,0.7916,1.0524040992380903,1.0404068834596392,5.525172549666078
4981,4981,486,Al1Ti1Fe1Cu1,AlTiFeCu,0.7951,1.0668681578939507,1.0404542635156928,5.57850577986159
4982,4982,487,Al1Ti1Fe1Zn1,AlTiFeZn,0.758,0.8327454285270035,0.8152179126947947,5.318334543725489
4983,4983,488,Al1Ti1Fe1Y1,AlTiFeY,0.674,0.5954465664783982,0.5689443581629351,4.6143668996962015
